Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
826,United Kingdom,2010,All staff compensation as % of total expenditure in public institutions (%),58.8
826,United Kingdom,2010,Capital expenditure as % of total expenditure in public institutions (%),11.4
826,United Kingdom,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.5
826,United Kingdom,2015,All staff compensation as % of total expenditure in public institutions (%),73.9
826,United Kingdom,2015,Capital expenditure as % of total expenditure in public institutions (%),2.6
826,United Kingdom,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.6
826,United Kingdom,2020,All staff compensation as % of total expenditure in public institutions (%),80.1
826,United Kingdom,2020,Capital expenditure as % of total expenditure in public institutions (%),2.3
834,United Rep. of Tanzania,2021,Basic access to computers by level of education: Primary,93.1
840,United States of America,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.7
840,United States of America,2015,All staff compensation as % of total expenditure in public institutions (%),69.7
840,United States of America,2015,Capital expenditure as % of total expenditure in public institutions (%),8.7
840,United States of America,2015,Basic access to computers by level of education: Primary,100.0
840,United States of America,2015,Basic access to computers by level of education: Lower secondary,100
840,United States of America,2015,Basic access to computers by level of education: Upper secondary,100
840,United States of America,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2
840,United States of America,2019,All staff compensation as % of total expenditure in public institutions (%),69.2
840,United States of America,2019,Capital expenditure as % of total expenditure in public institutions (%),9.6
840,United States of America,2019,Basic access to computers by level of education: Primary,100.0
840,United States of America,2019,Basic access to computers by level of education: Lower secondary,100
840,United States of America,2019,Basic access to computers by level of education: Upper secondary,100
840,United States of America,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.4
840,United States of America,2020,All staff compensation as % of total expenditure in public institutions (%),69.6
840,United States of America,2020,Capital expenditure as % of total expenditure in public institutions (%),10.0
858,Uruguay,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.5
858,Uruguay,2005,All staff compensation as % of total expenditure in public institutions (%),80.8
858,Uruguay,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7
858,Uruguay,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.1
858,Uruguay,2006,All staff compensation as % of total expenditure in public institutions (%),80.2
858,Uruguay,2006,Capital expenditure as % of total expenditure in public institutions (%),5.7
858,Uruguay,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.5
858,Uruguay,2015,All staff compensation as % of total expenditure in public institutions (%),82.7
858,Uruguay,2015,Capital expenditure as % of total expenditure in public institutions (%),3.8
858,Uruguay,2015,Basic access to computers by level of education: Primary,100.0
858,Uruguay,2015,Basic access to computers by level of education: Lower secondary,100
858,Uruguay,2015,Basic access to computers by level of education: Upper secondary,100
858,Uruguay,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2
858,Uruguay,2020,All staff compensation as % of total expenditure in public institutions (%),81.9
858,Uruguay,2020,Capital expenditure as % of total expenditure in public institutions (%),3.8
858,Uruguay,2020,Basic access to computers by level of education: Primary,99.9
858,Uruguay,2020,Basic access to computers by level of education: Lower secondary,100
858,Uruguay,2020,Basic access to computers by level of education: Upper secondary,100
858,Uruguay,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.9
858,Uruguay,2021,All staff compensation as % of total expenditure in public institutions (%),80.1
858,Uruguay,2021,Capital expenditure as % of total expenditure in public institutions (%),4.1
858,Uruguay,2021,Basic access to computers by level of education: Primary,100.0
858,Uruguay,2021,Basic access to computers by level of education: Lower secondary,100
860,Uzbekistan,2015,Basic access to computers by level of education: Primary,85.9
860,Uzbekistan,2015,Basic access to computers by level of education: Lower secondary,86
860,Uzbekistan,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
860,Uzbekistan,2021,All staff compensation as % of total expenditure in public institutions (%),85.1
860,Uzbekistan,2021,Capital expenditure as % of total expenditure in public institutions (%),2.4
860,Uzbekistan,2021,Basic access to computers by level of education: Primary,97.5
860,Uzbekistan,2021,Basic access to computers by level of education: Lower secondary,97
860,Uzbekistan,2021,Basic access to computers by level of education: Upper secondary,98
860,Uzbekistan,2023,Basic access to computers by level of education: Primary,97.7
860,Uzbekistan,2023,Basic access to computers by level of education: Lower secondary,98
860,Uzbekistan,2023,Basic access to computers by level of education: Upper secondary,98
548,Vanuatu,2001,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.1
548,Vanuatu,2001,All staff compensation as % of total expenditure in public institutions (%),51.7
548,Vanuatu,2001,Capital expenditure as % of total expenditure in public institutions (%),47.2
548,Vanuatu,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.8
548,Vanuatu,2009,All staff compensation as % of total expenditure in public institutions (%),89.5
548,Vanuatu,2009,Capital expenditure as % of total expenditure in public institutions (%),1.7
548,Vanuatu,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.0
548,Vanuatu,2020,All staff compensation as % of total expenditure in public institutions (%),69.5
548,Vanuatu,2020,Capital expenditure as % of total expenditure in public institutions (%),0.6
862,Venezuela (Boliv. Rep. of),2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.2
862,Venezuela (Boliv. Rep. of),2009,All staff compensation as % of total expenditure in public institutions (%),76.9
862,Venezuela (Boliv. Rep. of),2009,Capital expenditure as % of total expenditure in public institutions (%),2.9
862,Venezuela (Boliv. Rep. of),2010,Basic access to computers by level of education: Primary,68.3
